,AAPL 2021-09-25,AAPL 2020-09-26,AAPL 2019-09-28,AAPL 2018-09-29
totalLiab,287912000000.0,258549000000.0,248028000000.0,258578000000.0
totalStockholderEquity,63090000000.0,65339000000.0,90488000000.0,107147000000.0
otherCurrentLiab,53577000000.0,47867000000.0,43242000000.0,39293000000.0
totalAssets,351002000000.0,323888000000.0,338516000000.0,365725000000.0
commonStock,57365000000.0,50779000000.0,45174000000.0,40201000000.0
otherCurrentAssets,14111000000.0,11264000000.0,12352000000.0,12087000000.0
retainedEarnings,5562000000.0,14966000000.0,45898000000.0,70400000000.0
otherLiab,43050000000.0,46108000000.0,50503000000.0,48914000000.0
treasuryStock,163000000.0,-406000000.0,-584000000.0,-3454000000.0
otherAssets,38762000000.0,33952000000.0,32978000000.0,22283000000.0
cash,34940000000.0,38016000000.0,48844000000.0,25913000000.0
totalCurrentLiabilities,125481000000.0,105392000000.0,105718000000.0,115929000000.0
shortLongTermDebt,9613000000.0,8773000000.0,10260000000.0,8784000000.0
otherStockholderEquity,163000000.0,-406000000.0,-584000000.0,-3454000000.0
propertyPlantEquipment,49527000000.0,45336000000.0,37378000000.0,41304000000.0
totalCurrentAssets,134836000000.0,143713000000.0,162819000000.0,131339000000.0
longTermInvestments,127877000000.0,100887000000.0,105341000000.0,170799000000.0
netTangibleAssets,63090000000.0,65339000000.0,90488000000.0,107147000000.0
shortTermInvestments,27699000000.0,52927000000.0,51713000000.0,40388000000.0
netReceivables,51506000000.0,37445000000.0,45804000000.0,48995000000.0
longTermDebt,109106000000.0,98667000000.0,91807000000.0,93735000000.0
inventory,6580000000.0,4061000000.0,4106000000.0,3956000000.0
accountsPayable,54763000000.0,42296000000.0,46236000000.0,55888000000.0
researchDevelopment,21914000000.0,18752000000.0,16217000000.0,14236000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,109207000000.0,67091000000.0,65737000000.0,72903000000.0
minorityInterest,,,,
netIncome,94680000000.0,57411000000.0,55256000000.0,59531000000.0
sellingGeneralAdministrative,21973000000.0,19916000000.0,18245000000.0,16705000000.0
grossProfit,152836000000.0,104956000000.0,98392000000.0,101839000000.0
ebit,108949000000.0,66288000000.0,63930000000.0,70898000000.0
operatingIncome,108949000000.0,66288000000.0,63930000000.0,70898000000.0
otherOperatingExpenses,,,,
interestExpense,-2645000000.0,-2873000000.0,-3576000000.0,-3240000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,14527000000.0,9680000000.0,10481000000.0,13372000000.0
totalRevenue,365817000000.0,274515000000.0,260174000000.0,265595000000.0
totalOperatingExpenses,256868000000.0,208227000000.0,196244000000.0,194697000000.0
costOfRevenue,212981000000.0,169559000000.0,161782000000.0,163756000000.0
totalOtherIncomeExpenseNet,258000000.0,803000000.0,1807000000.0,2005000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,94680000000.0,57411000000.0,55256000000.0,59531000000.0
netIncomeApplicableToCommonShares,94680000000.0,57411000000.0,55256000000.0,59531000000.0
investments,-2819000000.0,5335000000.0,58093000000.0,30845000000.0
changeToLiabilities,14002000000.0,-1981000000.0,-2548000000.0,9172000000.0
totalCashflowsFromInvestingActivities,-14545000000.0,-4289000000.0,45896000000.0,16066000000.0
netBorrowings,12665000000.0,2499000000.0,-7819000000.0,432000000.0
totalCashFromFinancingActivities,-93353000000.0,-86820000000.0,-90976000000.0,-87876000000.0
changeToOperatingActivities,-6146000000.0,881000000.0,-896000000.0,30016000000.0
issuanceOfStock,1105000000.0,880000000.0,781000000.0,669000000.0
netIncome,94680000000.0,57411000000.0,55256000000.0,59531000000.0
changeInCash,-3860000000.0,-10435000000.0,24311000000.0,5624000000.0
repurchaseOfStock,-92527000000.0,-75992000000.0,-69714000000.0,-75265000000.0
totalCashFromOperatingActivities,104038000000.0,80674000000.0,69391000000.0,77434000000.0
depreciation,11284000000.0,11056000000.0,12547000000.0,10903000000.0
otherCashflowsFromInvestingActivities,-608000000.0,-791000000.0,-1078000000.0,-745000000.0
dividendsPaid,-14467000000.0,-14081000000.0,-14119000000.0,-13712000000.0
changeToInventory,-2642000000.0,-127000000.0,-289000000.0,828000000.0
changeToAccountReceivables,-10125000000.0,6917000000.0,245000000.0,-5322000000.0
otherCashflowsFromFinancingActivities,-129000000.0,-126000000.0,-105000000.0,-105000000.0
changeToNetincome,2985000000.0,6517000000.0,5076000000.0,-27694000000.0
capitalExpenditures,-11085000000.0,-7309000000.0,-10495000000.0,-13313000000.0
