                                       AAPL 2021-09-25  AAPL 2020-09-26  AAPL 2019-09-28  AAPL 2018-09-29
totalLiab                                 2.879120e+11     2.585490e+11     2.480280e+11     2.585780e+11
totalStockholderEquity                    6.309000e+10     6.533900e+10     9.048800e+10     1.071470e+11
otherCurrentLiab                          5.357700e+10     4.786700e+10     4.324200e+10     3.929300e+10
totalAssets                               3.510020e+11     3.238880e+11     3.385160e+11     3.657250e+11
commonStock                               5.736500e+10     5.077900e+10     4.517400e+10     4.020100e+10
otherCurrentAssets                        1.411100e+10     1.126400e+10     1.235200e+10     1.208700e+10
retainedEarnings                          5.562000e+09     1.496600e+10     4.589800e+10     7.040000e+10
otherLiab                                 4.305000e+10     4.610800e+10     5.050300e+10     4.891400e+10
treasuryStock                             1.630000e+08    -4.060000e+08    -5.840000e+08    -3.454000e+09
otherAssets                               3.876200e+10     3.395200e+10     3.297800e+10     2.228300e+10
cash                                      3.494000e+10     3.801600e+10     4.884400e+10     2.591300e+10
totalCurrentLiabilities                   1.254810e+11     1.053920e+11     1.057180e+11     1.159290e+11
shortLongTermDebt                         9.613000e+09     8.773000e+09     1.026000e+10     8.784000e+09
otherStockholderEquity                    1.630000e+08    -4.060000e+08    -5.840000e+08    -3.454000e+09
propertyPlantEquipment                    4.952700e+10     4.533600e+10     3.737800e+10     4.130400e+10
totalCurrentAssets                        1.348360e+11     1.437130e+11     1.628190e+11     1.313390e+11
longTermInvestments                       1.278770e+11     1.008870e+11     1.053410e+11     1.707990e+11
netTangibleAssets                         6.309000e+10     6.533900e+10     9.048800e+10     1.071470e+11
shortTermInvestments                      2.769900e+10     5.292700e+10     5.171300e+10     4.038800e+10
netReceivables                            5.150600e+10     3.744500e+10     4.580400e+10     4.899500e+10
longTermDebt                              1.091060e+11     9.866700e+10     9.180700e+10     9.373500e+10
inventory                                 6.580000e+09     4.061000e+09     4.106000e+09     3.956000e+09
accountsPayable                           5.476300e+10     4.229600e+10     4.623600e+10     5.588800e+10
researchDevelopment                       2.191400e+10     1.875200e+10     1.621700e+10     1.423600e+10
effectOfAccountingCharges                          NaN              NaN              NaN              NaN
incomeBeforeTax                           1.092070e+11     6.709100e+10     6.573700e+10     7.290300e+10
minorityInterest                                   NaN              NaN              NaN              NaN
netIncome                                 9.468000e+10     5.741100e+10     5.525600e+10     5.953100e+10
sellingGeneralAdministrative              2.197300e+10     1.991600e+10     1.824500e+10     1.670500e+10
grossProfit                               1.528360e+11     1.049560e+11     9.839200e+10     1.018390e+11
ebit                                      1.089490e+11     6.628800e+10     6.393000e+10     7.089800e+10
operatingIncome                           1.089490e+11     6.628800e+10     6.393000e+10     7.089800e+10
otherOperatingExpenses                             NaN              NaN              NaN              NaN
interestExpense                          -2.645000e+09    -2.873000e+09    -3.576000e+09    -3.240000e+09
extraordinaryItems                                 NaN              NaN              NaN              NaN
nonRecurring                                       NaN              NaN              NaN              NaN
otherItems                                         NaN              NaN              NaN              NaN
incomeTaxExpense                          1.452700e+10     9.680000e+09     1.048100e+10     1.337200e+10
totalRevenue                              3.658170e+11     2.745150e+11     2.601740e+11     2.655950e+11
totalOperatingExpenses                    2.568680e+11     2.082270e+11     1.962440e+11     1.946970e+11
costOfRevenue                             2.129810e+11     1.695590e+11     1.617820e+11     1.637560e+11
totalOtherIncomeExpenseNet                2.580000e+08     8.030000e+08     1.807000e+09     2.005000e+09
discontinuedOperations                             NaN              NaN              NaN              NaN
netIncomeFromContinuingOps                9.468000e+10     5.741100e+10     5.525600e+10     5.953100e+10
netIncomeApplicableToCommonShares         9.468000e+10     5.741100e+10     5.525600e+10     5.953100e+10
investments                              -2.819000e+09     5.335000e+09     5.809300e+10     3.084500e+10
changeToLiabilities                       1.400200e+10    -1.981000e+09    -2.548000e+09     9.172000e+09
totalCashflowsFromInvestingActivities    -1.454500e+10    -4.289000e+09     4.589600e+10     1.606600e+10
netBorrowings                             1.266500e+10     2.499000e+09    -7.819000e+09     4.320000e+08
totalCashFromFinancingActivities         -9.335300e+10    -8.682000e+10    -9.097600e+10    -8.787600e+10
changeToOperatingActivities              -6.146000e+09     8.810000e+08    -8.960000e+08     3.001600e+10
issuanceOfStock                           1.105000e+09     8.800000e+08     7.810000e+08     6.690000e+08
netIncome                                 9.468000e+10     5.741100e+10     5.525600e+10     5.953100e+10
changeInCash                             -3.860000e+09    -1.043500e+10     2.431100e+10     5.624000e+09
repurchaseOfStock                        -9.252700e+10    -7.599200e+10    -6.971400e+10    -7.526500e+10
totalCashFromOperatingActivities          1.040380e+11     8.067400e+10     6.939100e+10     7.743400e+10
depreciation                              1.128400e+10     1.105600e+10     1.254700e+10     1.090300e+10
otherCashflowsFromInvestingActivities    -6.080000e+08    -7.910000e+08    -1.078000e+09    -7.450000e+08
dividendsPaid                            -1.446700e+10    -1.408100e+10    -1.411900e+10    -1.371200e+10
changeToInventory                        -2.642000e+09    -1.270000e+08    -2.890000e+08     8.280000e+08
changeToAccountReceivables               -1.012500e+10     6.917000e+09     2.450000e+08    -5.322000e+09
otherCashflowsFromFinancingActivities    -1.290000e+08    -1.260000e+08    -1.050000e+08    -1.050000e+08
changeToNetincome                         2.985000e+09     6.517000e+09     5.076000e+09    -2.769400e+10
capitalExpenditures                      -1.108500e+10    -7.309000e+09    -1.049500e+10    -1.331300e+10
