                                       GOOG 2021-12-31  GOOG 2020-12-31  GOOG 2019-12-31  GOOG 2018-12-31
intangibleAssets                          1.417000e+09     1.445000e+09     1.979000e+09     2.220000e+09
totalLiab                                 1.076330e+11     9.707200e+10     7.446700e+10     5.516400e+10
totalStockholderEquity                    2.516350e+11     2.225440e+11     2.014420e+11     1.776280e+11
otherCurrentLiab                          2.920800e+10     2.800600e+10     2.215900e+10     1.761200e+10
totalAssets                               3.592680e+11     3.196160e+11     2.759090e+11     2.327920e+11
commonStock                               6.177400e+10     5.851000e+10     5.055200e+10     4.504900e+10
otherCurrentAssets                        7.054000e+09     5.490000e+09     4.412000e+09     4.236000e+09
retainedEarnings                          1.914840e+11     1.634010e+11     1.521220e+11     1.348850e+11
otherLiab                                 1.717300e+10     1.516000e+10     1.447800e+10     1.653200e+10
goodWill                                  2.295600e+10     2.117500e+10     2.062400e+10     1.788800e+10
treasuryStock                            -1.623000e+09     6.330000e+08    -1.232000e+09    -2.306000e+09
otherAssets                               6.645000e+09     5.037000e+09     3.063000e+09     3.430000e+09
cash                                      2.094500e+10     2.646500e+10     1.849800e+10     1.670100e+10
totalCurrentLiabilities                   6.425400e+10     5.683400e+10     4.522100e+10     3.462000e+10
deferredLongTermAssetCharges              1.284000e+09     1.084000e+09     7.210000e+08     7.370000e+08
otherStockholderEquity                   -1.623000e+09     6.330000e+08    -1.232000e+09    -2.306000e+09
propertyPlantEquipment                    1.105580e+11     9.696000e+10     8.458700e+10     5.971900e+10
totalCurrentAssets                        1.881430e+11     1.742960e+11     1.525780e+11     1.356760e+11
longTermInvestments                       2.954900e+10     2.070300e+10     1.307800e+10     1.385900e+10
netTangibleAssets                         2.272620e+11     1.999240e+11     1.788390e+11     1.575200e+11
shortTermInvestments                      1.187040e+11     1.102290e+11     1.011770e+11     9.243900e+10
netReceivables                            4.027000e+10     3.138400e+10     2.749200e+10     2.119300e+10
longTermDebt                              1.284400e+10     1.283200e+10     3.958000e+09     3.950000e+09
inventory                                 1.170000e+09     7.280000e+08     9.990000e+08     1.107000e+09
accountsPayable                           6.037000e+09     5.589000e+09     5.561000e+09     4.378000e+09
shortLongTermDebt                                  NaN     9.990000e+08              NaN              NaN
researchDevelopment                       3.156200e+10     2.757300e+10     2.601800e+10     2.141900e+10
effectOfAccountingCharges                          NaN              NaN              NaN              NaN
incomeBeforeTax                           9.073400e+10     4.808200e+10     3.962500e+10     3.491300e+10
minorityInterest                                   NaN              NaN              NaN              NaN
netIncome                                 7.603300e+10     4.026900e+10     3.434300e+10     3.073600e+10
sellingGeneralAdministrative              3.642200e+10     2.899800e+10     2.801500e+10     2.325600e+10
grossProfit                               1.466980e+11     9.779500e+10     8.996100e+10     7.727000e+10
ebit                                      7.871400e+10     4.122400e+10     3.592800e+10     3.259500e+10
operatingIncome                           7.871400e+10     4.122400e+10     3.592800e+10     3.259500e+10
otherOperatingExpenses                             NaN              NaN              NaN              NaN
interestExpense                          -3.460000e+08    -1.350000e+08    -1.000000e+08    -1.140000e+08
extraordinaryItems                                 NaN              NaN              NaN              NaN
nonRecurring                                       NaN              NaN              NaN              NaN
otherItems                                         NaN              NaN              NaN              NaN
incomeTaxExpense                          1.470100e+10     7.813000e+09     5.282000e+09     4.177000e+09
totalRevenue                              2.576370e+11     1.825270e+11     1.618570e+11     1.368190e+11
totalOperatingExpenses                    1.789230e+11     1.413030e+11     1.259290e+11     1.042240e+11
costOfRevenue                             1.109390e+11     8.473200e+10     7.189600e+10     5.954900e+10
totalOtherIncomeExpenseNet                1.202000e+10     6.858000e+09     3.697000e+09     2.318000e+09
discontinuedOperations                             NaN              NaN              NaN              NaN
netIncomeFromContinuingOps                7.603300e+10     4.026900e+10     3.434300e+10     3.073600e+10
netIncomeApplicableToCommonShares         7.603300e+10     4.026900e+10     3.434300e+10     3.073600e+10
investments                              -8.806000e+09    -9.822000e+09    -4.017000e+09    -1.972000e+09
changeToLiabilities                       1.057000e+09     1.329000e+09     4.650000e+08     1.438000e+09
totalCashflowsFromInvestingActivities    -3.552300e+10    -3.277300e+10    -2.949100e+10    -2.850400e+10
netBorrowings                            -1.236000e+09     9.661000e+09    -2.680000e+08    -6.100000e+07
totalCashFromFinancingActivities         -6.136200e+10    -2.440800e+10    -2.320900e+10    -1.317900e+10
changeToOperatingActivities               7.140000e+09     5.813000e+09     7.822000e+09     7.890000e+09
netIncome                                 7.603300e+10     4.026900e+10     3.434300e+10     3.073600e+10
changeInCash                             -5.520000e+09     7.967000e+09     1.797000e+09     5.986000e+09
repurchaseOfStock                        -5.027400e+10    -3.114900e+10    -1.839600e+10    -9.075000e+09
effectOfExchangeRate                     -2.870000e+08     2.400000e+07    -2.300000e+07    -3.020000e+08
totalCashFromOperatingActivities          9.165200e+10     6.512400e+10     5.452000e+10     4.797100e+10
depreciation                              1.243000e+10     1.367900e+10     1.165100e+10     9.029000e+09
otherCashflowsFromInvestingActivities     5.410000e+08     6.800000e+07     5.890000e+08     9.800000e+07
changeToAccountReceivables               -9.095000e+09    -6.524000e+09    -4.340000e+09    -2.169000e+09
otherCashflowsFromFinancingActivities    -9.852000e+09    -2.920000e+09    -4.545000e+09    -4.043000e+09
changeToNetincome                         4.712000e+09     9.349000e+09     7.707000e+09     3.298000e+09
capitalExpenditures                      -2.464000e+10    -2.228100e+10    -2.354800e+10    -2.513900e+10
