,MSFT 2021-06-30,MSFT 2020-06-30,MSFT 2019-06-30,MSFT 2018-06-30
intangibleAssets,7800000000.0,7038000000.0,7750000000.0,8053000000.0
totalLiab,191791000000.0,183007000000.0,184226000000.0,176130000000.0
totalStockholderEquity,141988000000.0,118304000000.0,102330000000.0,82718000000.0
otherCurrentLiab,52612000000.0,46001000000.0,45860000000.0,38195000000.0
totalAssets,333779000000.0,301311000000.0,286556000000.0,258848000000.0
commonStock,83111000000.0,80552000000.0,78520000000.0,71223000000.0
otherCurrentAssets,13471000000.0,11517000000.0,10133000000.0,6855000000.0
retainedEarnings,57055000000.0,34566000000.0,24150000000.0,13682000000.0
otherLiab,31681000000.0,34492000000.0,35699000000.0,35707000000.0
goodWill,49711000000.0,43351000000.0,42026000000.0,35683000000.0
treasuryStock,1822000000.0,3186000000.0,-340000000.0,-2187000000.0
otherAssets,15075000000.0,13138000000.0,14723000000.0,7442000000.0
cash,14224000000.0,13576000000.0,11356000000.0,11946000000.0
totalCurrentLiabilities,88657000000.0,72310000000.0,69420000000.0,58488000000.0
deferredLongTermAssetCharges,7181000000.0,6405000000.0,7536000000.0,1369000000.0
shortLongTermDebt,8072000000.0,3749000000.0,5516000000.0,3998000000.0
otherStockholderEquity,1822000000.0,3186000000.0,-340000000.0,-2187000000.0
propertyPlantEquipment,70803000000.0,52904000000.0,43856000000.0,36146000000.0
totalCurrentAssets,184406000000.0,181915000000.0,175552000000.0,169662000000.0
longTermInvestments,5984000000.0,2965000000.0,2649000000.0,1862000000.0
netTangibleAssets,84477000000.0,67915000000.0,52554000000.0,38982000000.0
shortTermInvestments,116032000000.0,122916000000.0,122476000000.0,121718000000.0
netReceivables,38043000000.0,32011000000.0,29524000000.0,26481000000.0
longTermDebt,50074000000.0,59578000000.0,66662000000.0,72242000000.0
inventory,2636000000.0,1895000000.0,2063000000.0,2662000000.0
accountsPayable,15163000000.0,12530000000.0,9382000000.0,8617000000.0
researchDevelopment,20716000000.0,19269000000.0,16876000000.0,14726000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,71102000000.0,53036000000.0,43688000000.0,36474000000.0
minorityInterest,,,,
netIncome,61271000000.0,44281000000.0,39240000000.0,16571000000.0
sellingGeneralAdministrative,25224000000.0,24523000000.0,23098000000.0,22223000000.0
grossProfit,115856000000.0,96937000000.0,82933000000.0,72007000000.0
ebit,69916000000.0,53145000000.0,42959000000.0,35058000000.0
operatingIncome,69916000000.0,53145000000.0,42959000000.0,35058000000.0
otherOperatingExpenses,,,,
interestExpense,-2330000000.0,-2591000000.0,-2686000000.0,-2733000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,9831000000.0,8755000000.0,4448000000.0,19903000000.0
totalRevenue,168088000000.0,143015000000.0,125843000000.0,110360000000.0
totalOperatingExpenses,98172000000.0,89870000000.0,82884000000.0,75302000000.0
costOfRevenue,52232000000.0,46078000000.0,42910000000.0,38353000000.0
totalOtherIncomeExpenseNet,1186000000.0,-109000000.0,729000000.0,1416000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,61271000000.0,44281000000.0,39240000000.0,16571000000.0
netIncomeApplicableToCommonShares,61271000000.0,44281000000.0,39240000000.0,16571000000.0
investments,2876000000.0,6980000000.0,540000000.0,6557000000.0
changeToLiabilities,7431000000.0,5230000000.0,4694000000.0,7070000000.0
totalCashflowsFromInvestingActivities,-27577000000.0,-12223000000.0,-15773000000.0,-6061000000.0
netBorrowings,-3750000000.0,-5518000000.0,-4000000000.0,-10201000000.0
totalCashFromFinancingActivities,-48486000000.0,-46031000000.0,-36887000000.0,-33590000000.0
changeToOperatingActivities,1160000000.0,-673000000.0,-1542000000.0,-459000000.0
issuanceOfStock,1693000000.0,1343000000.0,1142000000.0,1002000000.0
netIncome,61271000000.0,44281000000.0,39240000000.0,16571000000.0
changeInCash,648000000.0,2220000000.0,-590000000.0,4283000000.0
repurchaseOfStock,-27385000000.0,-22968000000.0,-19543000000.0,-10721000000.0
effectOfExchangeRate,-29000000.0,-201000000.0,-115000000.0,50000000.0
totalCashFromOperatingActivities,76740000000.0,60675000000.0,52185000000.0,43884000000.0
depreciation,10900000000.0,12300000000.0,11600000000.0,9900000000.0
otherCashflowsFromInvestingActivities,-922000000.0,-1241000000.0,-1241000000.0,-98000000.0
dividendsPaid,-16521000000.0,-15137000000.0,-13811000000.0,-12699000000.0
changeToInventory,-737000000.0,168000000.0,597000000.0,-465000000.0
changeToAccountReceivables,-6481000000.0,-2577000000.0,-2812000000.0,-3862000000.0
otherCashflowsFromFinancingActivities,-2523000000.0,-3751000000.0,-675000000.0,-971000000.0
changeToNetincome,5505000000.0,5577000000.0,-2521000000.0,-3054000000.0
capitalExpenditures,-20622000000.0,-15441000000.0,-13925000000.0,-11632000000.0
