                                       MSFT 2021-06-30  MSFT 2020-06-30  MSFT 2019-06-30  MSFT 2018-06-30
intangibleAssets                          7.800000e+09     7.038000e+09     7.750000e+09     8.053000e+09
totalLiab                                 1.917910e+11     1.830070e+11     1.842260e+11     1.761300e+11
totalStockholderEquity                    1.419880e+11     1.183040e+11     1.023300e+11     8.271800e+10
otherCurrentLiab                          5.261200e+10     4.600100e+10     4.586000e+10     3.819500e+10
totalAssets                               3.337790e+11     3.013110e+11     2.865560e+11     2.588480e+11
commonStock                               8.311100e+10     8.055200e+10     7.852000e+10     7.122300e+10
otherCurrentAssets                        1.347100e+10     1.151700e+10     1.013300e+10     6.855000e+09
retainedEarnings                          5.705500e+10     3.456600e+10     2.415000e+10     1.368200e+10
otherLiab                                 3.168100e+10     3.449200e+10     3.569900e+10     3.570700e+10
goodWill                                  4.971100e+10     4.335100e+10     4.202600e+10     3.568300e+10
treasuryStock                             1.822000e+09     3.186000e+09    -3.400000e+08    -2.187000e+09
otherAssets                               1.507500e+10     1.313800e+10     1.472300e+10     7.442000e+09
cash                                      1.422400e+10     1.357600e+10     1.135600e+10     1.194600e+10
totalCurrentLiabilities                   8.865700e+10     7.231000e+10     6.942000e+10     5.848800e+10
deferredLongTermAssetCharges              7.181000e+09     6.405000e+09     7.536000e+09     1.369000e+09
shortLongTermDebt                         8.072000e+09     3.749000e+09     5.516000e+09     3.998000e+09
otherStockholderEquity                    1.822000e+09     3.186000e+09    -3.400000e+08    -2.187000e+09
propertyPlantEquipment                    7.080300e+10     5.290400e+10     4.385600e+10     3.614600e+10
totalCurrentAssets                        1.844060e+11     1.819150e+11     1.755520e+11     1.696620e+11
longTermInvestments                       5.984000e+09     2.965000e+09     2.649000e+09     1.862000e+09
netTangibleAssets                         8.447700e+10     6.791500e+10     5.255400e+10     3.898200e+10
shortTermInvestments                      1.160320e+11     1.229160e+11     1.224760e+11     1.217180e+11
netReceivables                            3.804300e+10     3.201100e+10     2.952400e+10     2.648100e+10
longTermDebt                              5.007400e+10     5.957800e+10     6.666200e+10     7.224200e+10
inventory                                 2.636000e+09     1.895000e+09     2.063000e+09     2.662000e+09
accountsPayable                           1.516300e+10     1.253000e+10     9.382000e+09     8.617000e+09
researchDevelopment                       2.071600e+10     1.926900e+10     1.687600e+10     1.472600e+10
effectOfAccountingCharges                          NaN              NaN              NaN              NaN
incomeBeforeTax                           7.110200e+10     5.303600e+10     4.368800e+10     3.647400e+10
minorityInterest                                   NaN              NaN              NaN              NaN
netIncome                                 6.127100e+10     4.428100e+10     3.924000e+10     1.657100e+10
sellingGeneralAdministrative              2.522400e+10     2.452300e+10     2.309800e+10     2.222300e+10
grossProfit                               1.158560e+11     9.693700e+10     8.293300e+10     7.200700e+10
ebit                                      6.991600e+10     5.314500e+10     4.295900e+10     3.505800e+10
operatingIncome                           6.991600e+10     5.314500e+10     4.295900e+10     3.505800e+10
otherOperatingExpenses                             NaN              NaN              NaN              NaN
interestExpense                          -2.330000e+09    -2.591000e+09    -2.686000e+09    -2.733000e+09
extraordinaryItems                                 NaN              NaN              NaN              NaN
nonRecurring                                       NaN              NaN              NaN              NaN
otherItems                                         NaN              NaN              NaN              NaN
incomeTaxExpense                          9.831000e+09     8.755000e+09     4.448000e+09     1.990300e+10
totalRevenue                              1.680880e+11     1.430150e+11     1.258430e+11     1.103600e+11
totalOperatingExpenses                    9.817200e+10     8.987000e+10     8.288400e+10     7.530200e+10
costOfRevenue                             5.223200e+10     4.607800e+10     4.291000e+10     3.835300e+10
totalOtherIncomeExpenseNet                1.186000e+09    -1.090000e+08     7.290000e+08     1.416000e+09
discontinuedOperations                             NaN              NaN              NaN              NaN
netIncomeFromContinuingOps                6.127100e+10     4.428100e+10     3.924000e+10     1.657100e+10
netIncomeApplicableToCommonShares         6.127100e+10     4.428100e+10     3.924000e+10     1.657100e+10
investments                               2.876000e+09     6.980000e+09     5.400000e+08     6.557000e+09
changeToLiabilities                       7.431000e+09     5.230000e+09     4.694000e+09     7.070000e+09
totalCashflowsFromInvestingActivities    -2.757700e+10    -1.222300e+10    -1.577300e+10    -6.061000e+09
netBorrowings                            -3.750000e+09    -5.518000e+09    -4.000000e+09    -1.020100e+10
totalCashFromFinancingActivities         -4.848600e+10    -4.603100e+10    -3.688700e+10    -3.359000e+10
changeToOperatingActivities               1.160000e+09    -6.730000e+08    -1.542000e+09    -4.590000e+08
issuanceOfStock                           1.693000e+09     1.343000e+09     1.142000e+09     1.002000e+09
netIncome                                 6.127100e+10     4.428100e+10     3.924000e+10     1.657100e+10
changeInCash                              6.480000e+08     2.220000e+09    -5.900000e+08     4.283000e+09
repurchaseOfStock                        -2.738500e+10    -2.296800e+10    -1.954300e+10    -1.072100e+10
effectOfExchangeRate                     -2.900000e+07    -2.010000e+08    -1.150000e+08     5.000000e+07
totalCashFromOperatingActivities          7.674000e+10     6.067500e+10     5.218500e+10     4.388400e+10
depreciation                              1.090000e+10     1.230000e+10     1.160000e+10     9.900000e+09
otherCashflowsFromInvestingActivities    -9.220000e+08    -1.241000e+09    -1.241000e+09    -9.800000e+07
dividendsPaid                            -1.652100e+10    -1.513700e+10    -1.381100e+10    -1.269900e+10
changeToInventory                        -7.370000e+08     1.680000e+08     5.970000e+08    -4.650000e+08
changeToAccountReceivables               -6.481000e+09    -2.577000e+09    -2.812000e+09    -3.862000e+09
otherCashflowsFromFinancingActivities    -2.523000e+09    -3.751000e+09    -6.750000e+08    -9.710000e+08
changeToNetincome                         5.505000e+09     5.577000e+09    -2.521000e+09    -3.054000e+09
capitalExpenditures                      -2.062200e+10    -1.544100e+10    -1.392500e+10    -1.163200e+10
