,TSLA 2021-12-31,TSLA 2020-12-31,TSLA 2019-12-31,TSLA 2018-12-31
intangibleAssets,257000000.0,313000000.0,339000000.0,282000000.0
capitalSurplus,29803000000.0,27260000000.0,12736000000.0,10249000000.0
totalLiab,30548000000.0,28469000000.0,26199000000.0,23427000000.0
totalStockholderEquity,30189000000.0,22225000000.0,6618000000.0,4923000000.0
minorityInterest,1394000000.0,1454000000.0,1492000000.0,1390000000.0
otherCurrentLiab,4756000000.0,4147000000.0,3693000000.0,2955000000.0
totalAssets,62131000000.0,52148000000.0,34309000000.0,29740000000.0
commonStock,1000000.0,1000000.0,1000000.0,
otherCurrentAssets,345000000.0,238000000.0,246000000.0,193000000.0
retainedEarnings,331000000.0,-5399000000.0,-6083000000.0,-5318000000.0
otherLiab,3896000000.0,3302000000.0,2969000000.0,2318000000.0
goodWill,200000000.0,207000000.0,198000000.0,68000000.0
treasuryStock,54000000.0,363000000.0,-36000000.0,-8000000.0
otherAssets,3398000000.0,1536000000.0,1469000000.0,1380000000.0
cash,17576000000.0,19384000000.0,6268000000.0,3686000000.0
totalCurrentLiabilities,19705000000.0,14248000000.0,10667000000.0,9993000000.0
shortLongTermDebt,1088000000.0,1758000000.0,1399000000.0,2284000000.0
otherStockholderEquity,54000000.0,363000000.0,-36000000.0,-8000000.0
propertyPlantEquipment,31176000000.0,23375000000.0,20199000000.0,19691000000.0
totalCurrentAssets,27100000000.0,26717000000.0,12103000000.0,8307000000.0
netTangibleAssets,29732000000.0,21705000000.0,6081000000.0,4573000000.0
shortTermInvestments,131000000.0,,,
netReceivables,1986000000.0,1903000000.0,1324000000.0,949000000.0
longTermDebt,4285000000.0,8571000000.0,10375000000.0,8461000000.0
inventory,5757000000.0,4101000000.0,3552000000.0,3113000000.0
accountsPayable,10025000000.0,6051000000.0,3771000000.0,3405000000.0
longTermInvestments,,,1000000.0,12000000.0
researchDevelopment,2593000000.0,1491000000.0,1343000000.0,1460000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,6343000000.0,1154000000.0,-665000000.0,-1005000000.0
minorityInterest,1394000000.0,1454000000.0,1492000000.0,1390000000.0
netIncome,5519000000.0,721000000.0,-862000000.0,-976000000.0
sellingGeneralAdministrative,4517000000.0,3188000000.0,2646000000.0,2835000000.0
grossProfit,13606000000.0,6630000000.0,4069000000.0,4042000000.0
ebit,6523000000.0,1951000000.0,80000000.0,-253000000.0
operatingIncome,6523000000.0,1951000000.0,80000000.0,-253000000.0
otherOperatingExpenses,-27000000.0,-27000000.0,-27000000.0,-27000000.0
interestExpense,-358000000.0,-784000000.0,-725000000.0,-653000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,699000000.0,292000000.0,110000000.0,58000000.0
totalRevenue,53823000000.0,31536000000.0,24578000000.0,21461000000.0
totalOperatingExpenses,47300000000.0,29585000000.0,24498000000.0,21714000000.0
costOfRevenue,40217000000.0,24906000000.0,20509000000.0,17419000000.0
totalOtherIncomeExpenseNet,-180000000.0,-797000000.0,-745000000.0,-752000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5644000000.0,862000000.0,-775000000.0,-1063000000.0
netIncomeApplicableToCommonShares,5524000000.0,690000000.0,-870000000.0,-976000000.0
investments,-132000000.0,-132000000.0,-132000000.0,-132000000.0
changeToLiabilities,5371000000.0,2423000000.0,1447000000.0,2203000000.0
totalCashflowsFromInvestingActivities,-7868000000.0,-3132000000.0,-1436000000.0,-2337000000.0
netBorrowings,-5732000000.0,-2488000000.0,798000000.0,89000000.0
totalCashFromFinancingActivities,-5203000000.0,9973000000.0,1529000000.0,574000000.0
changeToOperatingActivities,-3014000000.0,-1165000000.0,-1000000000.0,-625000000.0
issuanceOfStock,707000000.0,12686000000.0,1111000000.0,296000000.0
netIncome,5519000000.0,721000000.0,-862000000.0,-976000000.0
changeInCash,-1757000000.0,13118000000.0,2506000000.0,312000000.0
effectOfExchangeRate,-183000000.0,334000000.0,8000000.0,-23000000.0
totalCashFromOperatingActivities,11497000000.0,5943000000.0,2405000000.0,2098000000.0
depreciation,2810000000.0,2322000000.0,2092000000.0,1888000000.0
otherCashflowsFromInvestingActivities,6000000.0,123000000.0,46000000.0,46000000.0
changeToInventory,-1709000000.0,-422000000.0,-429000000.0,-1023000000.0
changeToAccountReceivables,-130000000.0,-652000000.0,-367000000.0,-497000000.0
otherCashflowsFromFinancingActivities,-178000000.0,-225000000.0,-380000000.0,189000000.0
changeToNetincome,2650000000.0,2716000000.0,1524000000.0,969000000.0
capitalExpenditures,-8014000000.0,-3232000000.0,-1432000000.0,-2319000000.0
