                                       TSLA 2021-12-31  TSLA 2020-12-31  TSLA 2019-12-31  TSLA 2018-12-31
intangibleAssets                          2.570000e+08     3.130000e+08     3.390000e+08     2.820000e+08
capitalSurplus                            2.980300e+10     2.726000e+10     1.273600e+10     1.024900e+10
totalLiab                                 3.054800e+10     2.846900e+10     2.619900e+10     2.342700e+10
totalStockholderEquity                    3.018900e+10     2.222500e+10     6.618000e+09     4.923000e+09
minorityInterest                          1.394000e+09     1.454000e+09     1.492000e+09     1.390000e+09
otherCurrentLiab                          4.756000e+09     4.147000e+09     3.693000e+09     2.955000e+09
totalAssets                               6.213100e+10     5.214800e+10     3.430900e+10     2.974000e+10
commonStock                               1.000000e+06     1.000000e+06     1.000000e+06              NaN
otherCurrentAssets                        3.450000e+08     2.380000e+08     2.460000e+08     1.930000e+08
retainedEarnings                          3.310000e+08    -5.399000e+09    -6.083000e+09    -5.318000e+09
otherLiab                                 3.896000e+09     3.302000e+09     2.969000e+09     2.318000e+09
goodWill                                  2.000000e+08     2.070000e+08     1.980000e+08     6.800000e+07
treasuryStock                             5.400000e+07     3.630000e+08    -3.600000e+07    -8.000000e+06
otherAssets                               3.398000e+09     1.536000e+09     1.469000e+09     1.380000e+09
cash                                      1.757600e+10     1.938400e+10     6.268000e+09     3.686000e+09
totalCurrentLiabilities                   1.970500e+10     1.424800e+10     1.066700e+10     9.993000e+09
shortLongTermDebt                         1.088000e+09     1.758000e+09     1.399000e+09     2.284000e+09
otherStockholderEquity                    5.400000e+07     3.630000e+08    -3.600000e+07    -8.000000e+06
propertyPlantEquipment                    3.117600e+10     2.337500e+10     2.019900e+10     1.969100e+10
totalCurrentAssets                        2.710000e+10     2.671700e+10     1.210300e+10     8.307000e+09
netTangibleAssets                         2.973200e+10     2.170500e+10     6.081000e+09     4.573000e+09
shortTermInvestments                      1.310000e+08              NaN              NaN              NaN
netReceivables                            1.986000e+09     1.903000e+09     1.324000e+09     9.490000e+08
longTermDebt                              4.285000e+09     8.571000e+09     1.037500e+10     8.461000e+09
inventory                                 5.757000e+09     4.101000e+09     3.552000e+09     3.113000e+09
accountsPayable                           1.002500e+10     6.051000e+09     3.771000e+09     3.405000e+09
longTermInvestments                                NaN              NaN     1.000000e+06     1.200000e+07
researchDevelopment                       2.593000e+09     1.491000e+09     1.343000e+09     1.460000e+09
effectOfAccountingCharges                          NaN              NaN              NaN              NaN
incomeBeforeTax                           6.343000e+09     1.154000e+09    -6.650000e+08    -1.005000e+09
minorityInterest                          1.394000e+09     1.454000e+09     1.492000e+09     1.390000e+09
netIncome                                 5.519000e+09     7.210000e+08    -8.620000e+08    -9.760000e+08
sellingGeneralAdministrative              4.517000e+09     3.188000e+09     2.646000e+09     2.835000e+09
grossProfit                               1.360600e+10     6.630000e+09     4.069000e+09     4.042000e+09
ebit                                      6.523000e+09     1.951000e+09     8.000000e+07    -2.530000e+08
operatingIncome                           6.523000e+09     1.951000e+09     8.000000e+07    -2.530000e+08
otherOperatingExpenses                   -2.700000e+07    -2.700000e+07    -2.700000e+07    -2.700000e+07
interestExpense                          -3.580000e+08    -7.840000e+08    -7.250000e+08    -6.530000e+08
extraordinaryItems                                 NaN              NaN              NaN              NaN
nonRecurring                                       NaN              NaN              NaN              NaN
otherItems                                         NaN              NaN              NaN              NaN
incomeTaxExpense                          6.990000e+08     2.920000e+08     1.100000e+08     5.800000e+07
totalRevenue                              5.382300e+10     3.153600e+10     2.457800e+10     2.146100e+10
totalOperatingExpenses                    4.730000e+10     2.958500e+10     2.449800e+10     2.171400e+10
costOfRevenue                             4.021700e+10     2.490600e+10     2.050900e+10     1.741900e+10
totalOtherIncomeExpenseNet               -1.800000e+08    -7.970000e+08    -7.450000e+08    -7.520000e+08
discontinuedOperations                             NaN              NaN              NaN              NaN
netIncomeFromContinuingOps                5.644000e+09     8.620000e+08    -7.750000e+08    -1.063000e+09
netIncomeApplicableToCommonShares         5.524000e+09     6.900000e+08    -8.700000e+08    -9.760000e+08
investments                              -1.320000e+08    -1.320000e+08    -1.320000e+08    -1.320000e+08
changeToLiabilities                       5.371000e+09     2.423000e+09     1.447000e+09     2.203000e+09
totalCashflowsFromInvestingActivities    -7.868000e+09    -3.132000e+09    -1.436000e+09    -2.337000e+09
netBorrowings                            -5.732000e+09    -2.488000e+09     7.980000e+08     8.900000e+07
totalCashFromFinancingActivities         -5.203000e+09     9.973000e+09     1.529000e+09     5.740000e+08
changeToOperatingActivities              -3.014000e+09    -1.165000e+09    -1.000000e+09    -6.250000e+08
issuanceOfStock                           7.070000e+08     1.268600e+10     1.111000e+09     2.960000e+08
netIncome                                 5.519000e+09     7.210000e+08    -8.620000e+08    -9.760000e+08
changeInCash                             -1.757000e+09     1.311800e+10     2.506000e+09     3.120000e+08
effectOfExchangeRate                     -1.830000e+08     3.340000e+08     8.000000e+06    -2.300000e+07
totalCashFromOperatingActivities          1.149700e+10     5.943000e+09     2.405000e+09     2.098000e+09
depreciation                              2.810000e+09     2.322000e+09     2.092000e+09     1.888000e+09
otherCashflowsFromInvestingActivities     6.000000e+06     1.230000e+08     4.600000e+07     4.600000e+07
changeToInventory                        -1.709000e+09    -4.220000e+08    -4.290000e+08    -1.023000e+09
changeToAccountReceivables               -1.300000e+08    -6.520000e+08    -3.670000e+08    -4.970000e+08
otherCashflowsFromFinancingActivities    -1.780000e+08    -2.250000e+08    -3.800000e+08     1.890000e+08
changeToNetincome                         2.650000e+09     2.716000e+09     1.524000e+09     9.690000e+08
capitalExpenditures                      -8.014000e+09    -3.232000e+09    -1.432000e+09    -2.319000e+09
